time,amount,merchant_risk,device_score,distance_from_home_km,is_fraud
121958,53.84,2,17,0.75,0
146867,7.05,8,22,33.78,0
131932,97.78,9,83,2.75,0
103694,20.67,4,45,9.18,0
119879,30.16,4,74,12.97,0
110268,124.69,5,61,11.33,0
54886,9.14,2,11,25.87,1
137337,8.19,7,61,18.17,0
168266,18.47,5,38,7.0,0
87498,93.54,6,66,1.06,0
112727,7.25,4,33,29.19,0
126324,1.95,8,43,8.69,0
16023,21.09,8,31,44.1,0
41090,57.5,5,35,10.05,0
67221,109.98,6,37,25.29,0
64820,20.84,3,47,56.12,0
769,21.95,1,100,21.06,0
59735,104.99,9,23,10.67,0
64925,5.11,9,36,16.76,0
5311,22.45,3,40,15.68,0
103355,40.06,4,90,17.58,0
85305,51.89,7,89,3.18,0
159765,19.89,2,81,23.98,0
130608,34.28,3,15,3.13,0
156730,2.75,6,37,0.29,0
84478,17.15,8,4,19.6,1
122537,52.12,1,22,2.49,0
149503,12.4,4,81,29.43,0
130523,35.13,1,22,40.19,0
2747,51.77,2,81,57.91,0
123855,23.51,8,78,21.84,0
65725,39.27,6,78,13.16,0
129981,12.65,9,17,8.69,0
84654,26.93,2,72,13.5,0
166845,60.96,3,98,4.22,0
119346,38.74,9,90,8.57,0
67435,18.42,9,94,25.31,0
56886,41.44,6,86,4.9,0
66803,67.67,3,80,6.13,0
31551,4.26,5,94,27.67,0
116216,105.54,2,80,3.92,0
11394,23.66,7,38,5.64,0
69092,50.68,10,24,0.35,0
3890,109.64,8,100,25.46,0
41606,8.4,6,99,19.24,0
87313,16.29,8,6,23.71,1
141699,24.82,2,68,4.82,0
8792,15.12,3,82,23.26,0
154969,187.72,7,6,18.15,1
68148,14.06,10,26,9.12,0
124243,19.0,1,91,11.52,0
120174,40.63,7,41,16.78,0
154555,9.95,6,75,13.6,0
124358,22.29,8,38,20.53,0
48555,45.49,7,80,3.99,0
17159,23.74,4,83,15.56,0
110510,30.16,3,43,11.97,0
106530,19.5,3,53,12.36,0
80077,7.28,4,15,12.67,0
35920,45.68,9,90,42.65,0
19457,191.51,9,56,34.14,0
78953,33.73,2,56,19.86,0
52995,41.48,5,31,25.21,0
171829,66.2,1,83,0.87,0
9692,9.31,4,57,27.25,0
37065,181.73,2,51,13.32,0
99299,40.54,8,24,7.65,0
163678,169.33,4,58,3.01,0
11534,15.91,5,73,1.56,0
40397,203.99,4,87,0.92,0
91387,71.89,5,4,3.53,1
1016,57.57,5,10,0.61,1
55591,41.85,5,63,26.38,0
23247,25.83,3,73,5.72,0
24300,110.01,7,83,9.2,0
82798,38.11,3,15,34.6,0
9268,4.63,2,98,2.44,0
86807,10.84,3,63,36.11,0
12185,27.5,3,19,20.41,0
170171,45.15,8,63,8.37,0
139643,31.29,4,56,2.51,0
38044,112.05,3,21,1.92,0
51214,4.71,10,34,8.17,0
114752,38.23,5,17,3.02,0
48984,5.38,4,18,6.23,0
40774,70.79,9,81,1.09,0
2568,30.13,8,66,18.08,0
120151,50.38,7,51,3.14,0
133767,13.96,8,65,28.27,0
124375,119.04,5,43,4.92,0
136330,93.85,4,57,31.99,0
39504,59.36,7,10,4.21,1
164231,29.09,1,37,25.56,0
13986,59.14,6,48,8.1,0
61858,16.33,8,69,17.5,0
129312,77.91,7,56,0.79,0
12666,172.34,2,76,13.67,0
38660,96.6,7,36,3.22,0
134633,15.96,6,31,13.32,0
26854,47.53,5,55,3.05,0
64505,9.09,4,38,11.49,0
104488,58.7,1,73,2.34,0
22662,51.97,2,90,4.97,0
8392,5.1,7,15,18.08,0
30535,10.36,10,16,75.15,0
113569,24.95,3,77,11.93,0
52256,24.51,5,89,23.24,0
89135,9.88,8,94,15.51,0
127478,48.86,8,53,13.8,0
35222,42.58,6,56,1.34,0
77373,27.27,5,7,3.12,1
123684,15.55,2,57,42.92,0
10965,94.51,9,55,10.56,0
24538,173.37,1,52,19.06,0
108066,20.42,2,4,15.03,1
113252,17.95,1,43,9.52,0
139182,54.12,4,40,9.81,0
158338,23.15,4,30,16.21,0
98806,28.81,5,10,3.04,1
137982,69.38,5,94,9.8,0
110989,4.91,8,7,11.85,1
90982,123.75,3,36,84.16,0
121626,35.61,6,35,8.66,0
119176,21.94,3,88,20.69,0
131278,30.29,2,39,2.96,0
122409,31.89,8,36,1.35,0
23419,5.86,1,20,41.04,0
50015,147.66,9,49,26.24,0
122096,34.51,7,96,7.64,0
107059,51.57,10,59,14.05,0
110687,85.76,4,49,2.92,0
87939,11.93,3,90,24.56,0
149213,53.17,6,26,1.46,0
105878,25.34,9,36,28.3,0
164899,77.23,9,43,15.83,0
62623,3.95,4,99,6.54,0
75450,29.99,10,43,39.69,0
93426,18.12,5,99,85.48,0
117845,51.02,9,76,5.87,0
153371,52.99,2,33,32.82,0
43585,16.32,2,100,27.74,0
109225,16.25,5,78,27.5,0
64044,29.65,1,97,63.04,0
109556,13.51,8,45,13.33,0
2693,76.86,5,45,22.43,0
95259,22.89,10,88,34.73,0
25939,1.81,2,15,13.06,0
152906,22.76,9,95,13.13,0
18047,11.72,2,17,7.67,0
26105,6.48,7,12,30.36,1
75766,9.61,8,22,23.18,0
146779,36.94,6,23,12.0,0
153048,125.04,7,90,10.87,0
44262,45.29,1,78,1.51,0
125117,18.06,4,12,0.13,1
23776,52.24,7,68,15.05,0
161152,20.92,1,51,10.81,0
128376,16.53,1,13,31.8,1
137848,10.44,6,57,15.65,0
92787,5.74,4,55,55.2,0
127948,22.42,3,82,4.37,0
55016,38.79,5,28,92.41,0
140546,30.07,9,44,7.07,0
21959,21.85,10,19,20.57,0
136602,12.86,10,46,13.94,0
119101,60.84,10,3,8.91,1
3748,8.87,3,83,3.0,0
13545,71.95,5,20,2.9,0
127659,12.16,10,25,24.86,0
165838,15.6,5,75,9.48,0
73530,7.64,9,56,65.04,0
93557,20.06,10,81,7.88,0
61087,87.82,4,61,82.12,0
68840,55.46,1,55,4.6,0
118451,88.1,10,35,2.17,0
51005,55.82,5,78,7.5,0
39353,10.98,1,59,43.36,0
52733,23.79,6,39,14.76,0
65318,15.18,10,57,2.92,0
154736,125.28,10,83,4.53,0
67172,10.01,7,67,7.46,0
93264,80.94,1,34,17.84,0
26736,80.88,10,41,8.08,0
112859,206.36,4,22,27.49,0
112181,21.98,9,27,19.16,0
131926,67.51,1,21,41.4,0
90084,324.29,9,41,13.9,1
169695,17.86,8,31,8.04,0
7392,7.13,5,27,111.84,0
55680,5.05,6,37,8.79,0
50859,67.54,7,66,11.19,0
125657,5.04,4,54,33.12,0
157381,22.82,6,9,1.86,1
70467,51.28,7,83,9.77,0
98506,39.85,6,42,1.79,0
109751,50.68,6,36,3.0,0
118906,41.36,2,10,0.09,1
143760,118.97,5,59,0.19,0
25342,12.78,3,40,9.57,0
168229,16.83,7,54,33.13,0
106308,15.29,4,39,17.69,0
106081,75.96,1,7,20.15,1
89045,81.48,6,4,14.65,1
34698,52.0,6,15,34.27,0
110078,108.15,7,76,42.47,0
80623,10.2,8,48,37.91,0
22671,175.43,3,6,33.44,1
156256,151.9,6,73,4.04,0
93384,69.1,10,35,18.02,0
86202,196.72,2,72,17.45,0
51663,6.32,9,71,15.01,0
15708,19.6,2,68,13.11,0
91906,15.87,3,58,1.87,0
49811,68.13,10,77,2.16,0
133883,11.59,2,19,46.51,0
56250,70.63,9,62,19.9,0
112547,130.39,1,71,6.08,0
124249,66.37,5,10,6.55,1
34754,43.98,1,25,18.84,0
142483,12.33,5,44,10.45,0
133983,14.2,8,99,11.64,0
139752,115.54,8,58,1.25,0
84896,72.19,8,25,2.99,0
71295,31.85,2,93,10.0,0
100689,21.8,8,76,24.06,0
11111,4.37,5,40,0.98,0
37504,11.35,1,76,8.15,0
132874,223.95,7,70,23.75,0
8155,9.2,6,10,31.41,1
39384,40.02,5,66,4.22,0
112561,90.69,1,25,26.3,0
47254,9.44,1,71,62.21,0
21918,39.83,6,87,47.46,0
85981,84.6,10,11,31.15,1
30306,33.53,7,36,24.92,0
147718,583.13,10,49,5.36,1
46843,6.24,10,48,20.1,0
120975,95.46,1,87,20.62,0
96601,27.86,9,7,10.45,1
107512,71.66,4,91,13.59,0
147443,51.49,5,77,23.69,0
111472,15.91,2,51,60.77,0
133121,41.64,10,17,7.0,0
162688,5.17,8,32,5.66,0
103727,60.54,2,26,18.42,0
112893,44.62,3,22,2.8,0
20932,62.72,9,13,17.47,1
117796,95.4,2,12,1.86,1
29855,47.83,6,71,13.49,0
7400,38.4,4,1,19.37,1
117858,13.72,7,33,1.45,0
15151,16.24,6,14,4.64,1
66690,108.5,10,64,8.17,0
4499,139.26,9,43,9.2,0
6295,26.1,9,58,22.55,0
120885,34.67,10,41,15.06,0
126071,13.4,4,81,9.63,0
59040,106.99,1,68,11.98,0
12183,64.42,2,39,0.26,0
160371,230.72,8,1,29.44,1
143946,13.76,10,41,0.84,0
116336,22.69,8,45,35.36,0
32711,41.74,2,88,15.57,0
5539,63.21,4,98,15.01,0
126063,26.69,1,98,24.39,0
133629,13.83,7,88,39.26,0
38360,79.95,4,79,57.17,0
